"bigram"
"00 7"
"1 bus"
"1 half"
"1 price"
"1 visit"
"1.5 5"
"1.5 months"
"10 15min"
"10 9"
"10 fries"
"100 agave"
"100 cash"
"1000 dollars"
"101 class"
"10th street"
"11 29"
"11 hour"
"11 hours"
"12 dollar"
"120 minutes"
"14 18"
"15 extra"
"15 items"
"15 worth"
"16 hours"
"16 people"
"17 18"
"18 19"
"2 13"
"2 cats"
"2 classes"
"2 green"
"2 lines"
"2 rice"
"2 spots"
"2 tablespoons"
"2.5 hrs"
"20 cheaper"
"20 credit"
"20 flavors"
"20 foot"
"20 items"
"20 lbs"
"200 bill"
"27 minutes"
"3 18"
"3 22"
"3 50"
"3 calls"
"3 charge"
"3 deep"
"3 dips"
"3 house"
"3 nice"
"3 salsas"
"3 shots"
"3 starts"
"30 feet"
"30 price"
"360 pizza"
"4 appetizers"
"4 atmosphere"
"4 hot"
"4 house"
"4 lbs"
"4 nice"
"4 seats"
"4 week"
"40 pounds"
"45 degrees"
"4th location"
"5 21"
"5 admission"
"5 average"
"5 house"
"5 inch"
"5 sandwiches"
"5 super"
"5.5 hours"
"50 lbs"
"53 minutes"
"6 17"
"6 20pm"
"6 business"
"6 dollar"
"6 friends"
"6 min"
"6 visits"
"7 16"
"75 degrees"
"8 10pm"
"8 17"
"8 20pm"
"80 100"
"80 dollars"
"85 degree"
"9 45am"
"9.99 lunch"
"absent minded"
"absolute perfect"
"absolutely abysmal"
"absolutely crazy"
"abysmal customer"
"acted annoyed"
"acted surprised"
"actual cost"
"actual dish"
"additional 1.50"
"additional amount"
"adequate parking"
"adorable dog"
"advertised online"
"african americans"
"airport pick"
"airport rental"
"aji de"
"alcohol content"
"alley food"
"alternative milks"
"amazing fries"
"amazing ice"
"amazing pork"
"amazing ramen"
"amazing resource"
"amazing sweet"
"amazing tea"
"amazing totally"
"amazingly flavorful"
"amazingly helpful"
"ambient noise"
"ample outdoor"
"angry customers"
"animal emergency"
"annual inspection"
"annual physical"
"answer emails"
"anti inflammatory"
"anxiety disorder"
"apparently means"
"appetizer delicious"
"appetizer soup"
"apple farm"
"appointment earlier"
"appointment reminder"
"approximately half"
"april 2016"
"april 2019"
"arborio rice"
"arms crossed"
"asian bistro"
"asian decor"
"ass clown"
"assorted sashimi"
"atlanta fish"
"atlanta magazine"
"atlanta traffic"
"atlanta's finest"
"atm fee"
"atmosphere pretty"
"attitude food"
"austin energy"
"austin eye"
"austin service"
"authentic jamaican"
"authentic persian"
"authentic sichuan"
